Date, Open, High, Low, Close
02/16/11, 1.6126, 1.6126, 1.6097, 1.6097
02/15/11, 1.6039, 1.6126, 1.6039, 1.6126
02/14/11, 1.6010, 1.6039, 1.6010, 1.6039
02/11/11, 1.6099, 1.6099, 1.6010, 1.6010
02/10/11, 1.6065, 1.6099, 1.6065, 1.6099
02/09/11, 1.6070, 1.6070, 1.6065, 1.6065
02/08/11, 1.6110, 1.6110, 1.6070, 1.6070
02/07/11, 1.6112, 1.6112, 1.6110, 1.6110
02/04/11, 1.6137, 1.6137, 1.6112, 1.6112
02/03/11, 1.6192, 1.6192, 1.6137, 1.6137
02/02/11, 1.6141, 1.6192, 1.6141, 1.6192
02/01/11, 1.6014, 1.6141, 1.6014, 1.6141
01/31/11, 1.5860, 1.6014, 1.5860, 1.6014
01/28/11, 1.5930, 1.5930, 1.5860, 1.5860
01/27/11, 1.5935, 1.5935, 1.5930, 1.5930
01/26/11, 1.5817, 1.5935, 1.5817, 1.5935
01/25/11, 1.5987, 1.5987, 1.5817, 1.5817
01/24/11, 1.6003, 1.6003, 1.5987, 1.5987
01/21/11, 1.5897, 1.6003, 1.5897, 1.6003
01/20/11, 1.5996, 1.5996, 1.5897, 1.5897
01/19/11, 1.5962, 1.5996, 1.5962, 1.5996
01/18/11, 1.5889, 1.5962, 1.5889, 1.5962
01/17/11, 1.5872, 1.5889, 1.5872, 1.5889
01/14/11, 1.5838, 1.5872, 1.5838, 1.5872
01/13/11, 1.5767, 1.5838, 1.5767, 1.5838
01/12/11, 1.5599, 1.5767, 1.5599, 1.5767
01/11/11, 1.5573, 1.5599, 1.5573, 1.5599
01/10/11, 1.5549, 1.5573, 1.5549, 1.5573
01/07/11, 1.5474, 1.5549, 1.5474, 1.5549
01/06/11, 1.5515, 1.5515, 1.5474, 1.5474
01/05/11, 1.5588, 1.5588, 1.5515, 1.5515
01/04/11, 1.5490, 1.5588, 1.5490, 1.5588
01/03/11, 1.5612, 1.5612, 1.5490, 1.5490
12/31/10, 1.5427, 1.5612, 1.5427, 1.5612
12/30/10, 1.5499, 1.5499, 1.5427, 1.5427
